id,date,age,comuna_id,level,age_range,online
3363954,04-02-2020,46,5601,Media completa. Técnica incompleta,45-60,False
3363978,04-02-2020,37,6105,Técnica completa,30-45,False
3364389,04-02-2020,35,5601,,30-45,False
3364576,04-02-2020,40,6105,Media completa. Técnica incompleta,30-45,False
3364698,03-02-2020,43,5601,Media completa. Técnica incompleta,30-45,False
3365042,04-02-2020,43,6105,Técnica completa,30-45,False
3365934,,,1,,0-15,False
3366039,03-02-2020,49,6115,Media completa. Técnica incompleta,45-60,False
3366089,04-02-2020,33,6115,Técnica completa,30-45,False
3367784,29-01-2020,29,8101,Técnica completa,15-30,False
3367967,24-01-2020,23,13119,Universitaria incompleta. Técnica completa,15-30,False
3368039,24-01-2020,20,7301,Media completa. Técnica incompleta,15-30,False
3368656,02-02-2020,27,3101,Básica completa,15-30,False
3368765,03-01-2020,30,3101,Media incompleta (incluyendo Media Técnica),30-45,False
3369304,24-01-2020,21,7101,Universitaria incompleta. Técnica completa,15-30,False
3369496,,,1,,0-15,False
3369546,,,1,,0-15,False
3369663,,,1,,0-15,False
3369863,01-02-2020,27,3101,Media incompleta (incluyendo Media Técnica),15-30,False
3370141,02-02-2020,38,3101,Media completa. Técnica incompleta,30-45,False
3370172,02-02-2020,24,3101,Media completa. Técnica incompleta,15-30,False
3370239,03-02-2020,30,3101,Universitaria incompleta. Técnica completa,30-45,False
3372057,02-03-2020,45,3101,Media completa. Técnica incompleta,45-60,False
3372097,02-02-2020,30,3101,Media completa. Técnica incompleta,30-45,False
3372139,03-02-2020,,3101,Media completa. Técnica incompleta,0-15,False
3372212,02-02-2020,41,3101,Media incompleta (incluyendo Media Técnica),30-45,False
3372270,03-02-2020,22,3101,Media incompleta (incluyendo Media Técnica),15-30,False
3372302,01-02-2020,23,3101,Educación básica incompleta o inferior,15-30,False
3372326,01-02-2020,23,3101,Media completa. Técnica incompleta,15-30,False
3372373,01-02-2020,23,3101,Educación básica incompleta o inferior,15-30,False
3372414,01-02-2020,30,3101,Media incompleta (incluyendo Media Técnica),30-45,False
3372437,01-02-2020,45,3101,Básica completa,45-60,False
3372469,02-02-2020,59,3101,Básica completa,45-60,False
3372499,02-02-2020,24,3101,Básica completa,15-30,False
3372576,02-02-2020,26,3101,Universitaria incompleta. Técnica completa,15-30,False
3372632,02-02-2020,57,3101,Educación básica incompleta o inferior,45-60,False
3372732,03-02-2020,37,9201,Universitaria incompleta. Técnica completa,30-45,False
3373437,28-01-2020,33,3101,Universitaria incompleta. Técnica completa,30-45,False
3373466,29-01-2020,45,3101,Media incompleta (incluyendo Media Técnica),45-60,False
3373471,03-01-2020,44,4301,Técnica completa,30-45,False
3373486,29-01-2020,23,3101,Media completa. Técnica incompleta,15-30,False
3373510,29-01-2020,29,3101,Media completa. Técnica incompleta,15-30,False
3373528,10-01-2020,51,4301,Técnica completa,45-60,False
3373531,29-01-2020,41,3101,Media incompleta (incluyendo Media Técnica),30-45,False
3373593,10-01-2020,50,4301,Técnica completa,45-60,False
3373648,10-01-2020,40,1,Universitaria incompleta. Técnica completa,30-45,False
3373704,10-01-2020,57,1,Universitaria incompleta. Técnica completa,45-60,False
3374413,10-01-2020,53,4301,Universitaria incompleta. Técnica completa,45-60,False
3374457,10-01-2020,,4301,Media completa. Técnica incompleta,0-15,False
3374583,20-01-2020,49,4101,Educación básica incompleta o inferior,45-60,False
3374639,20-01-2020,63,4301,Media incompleta (incluyendo Media Técnica),>=60,False
3374723,20-01-2020,,4301,Media completa. Técnica incompleta,0-15,False
3374766,20-01-2020,52,4301,Media incompleta (incluyendo Media Técnica),45-60,False
3374876,20-01-2020,63,4301,Media incompleta (incluyendo Media Técnica),>=60,False
3377054,24-01-2020,44,13110,Técnica completa,30-45,False
3377579,24-01-2020,21,13110,Universitaria incompleta. Técnica completa,15-30,False
3377653,24-01-2020,23,13116,Universitaria incompleta. Técnica completa,15-30,False
3377726,24-01-2020,27,13126,Universitaria incompleta. Técnica completa,15-30,False
3377800,24-01-2020,21,8101,Universitaria incompleta. Técnica completa,15-30,False
3377844,24-01-2020,21,8101,Universitaria incompleta. Técnica completa,15-30,False
3377892,24-01-2020,15,8301,Media incompleta (incluyendo Media Técnica),15-30,False
3377952,16-01-2020,55,11101,Media completa. Técnica incompleta,45-60,False
3378003,24-01-2020,15,8301,Media incompleta (incluyendo Media Técnica),15-30,False
3378076,21-01-2020,67,4301,Básica completa,>=60,False
3378109,15-01-2020,59,11101,Básica completa,45-60,False
3378127,22-01-2020,65,4101,Básica completa,>=60,False
3378153,22-01-2020,36,4301,Media completa. Técnica incompleta,30-45,False
3378160,24-01-2020,15,8301,Media incompleta (incluyendo Media Técnica),15-30,False
3378188,22-01-2020,38,4301,Universitaria incompleta. Técnica completa,30-45,False
3378214,24-01-2020,21,13122,Universitaria incompleta. Técnica completa,15-30,False
3378298,22-01-2020,31,4301,Media completa. Técnica incompleta,30-45,False
3378317,18-01-2020,36,11101,Técnica completa,30-45,False
3378356,,,1,,0-15,False
3378526,22-01-2020,40,4301,Media completa. Técnica incompleta,30-45,False
3378631,22-01-2020,70,4301,Universitaria incompleta. Técnica completa,>=60,False
3378820,23-01-2020,47,4301,Básica completa,45-60,False
3378941,23-01-2020,65,4102,,>=60,False
3379010,23-01-2020,75,4301,Media completa. Técnica incompleta,>=60,False
3379558,,65,4102,Básica completa,>=60,False
3379597,05-02-2020,75,4102,Educación básica incompleta o inferior,>=60,False
3379631,05-02-2020,31,4102,Técnica completa,30-45,False
